Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
s.prop52,,,,,,,
s.prop53,,,,,,,
s.prop54,,,,,,,
s.prop55,,,,,,,
s.prop56,,,,,,,
s.prop57,,,,,,,
s.prop58,,,,,,,
s.prop59,,,,,,,
s.prop60,,,,,,,
s.prop61,,,,,,,
s.prop62,,,,,,,
s.prop63,,,,,,,
s.prop64,,,,,,,
s.prop65,,,,,,,
s.prop66,,,,,,,
s.prop67,,,,,,,
s.prop68,,,,,,,
s.prop69,,,,,,,
s.prop70,,,,,,,
s.prop71,,,,,,,
s.prop72,,,,,,,
s.prop73,,,,,,,
s.prop74,,,,,,,
s.prop75,,,,,,,
s.hier1,,,,,,,
s.hier2,,,,,,,
s.hier3,,,,,,,
s.hier4,,,,,,,
s.hier5,,,,,,,
s.products,,"s.products=""[product ID]""","s.products=""[product ID]""","s.products=""[product ID]""","s.products=""[product ID]""",,
s.purchaseID,,"s.purchaseID=""[purchase ID]""","s.purchaseID=""[purchase ID]""","s.purchaseID=""[purchase ID]""","s.purchaseID=""[purchase ID]""",,
s.campaign,,,,,,,
s.eVar1,"s.eVar1=""[pv:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""","s.eVar1=""[pv:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""","s.eVar1=""[pv:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""","s.eVar1=""[pv:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""","s.eVar1=""[pv:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""",,
s.eVar2,"s.eVar2=[visitor DMA Cookie value]""","s.eVar2=[visitor DMA Cookie value]""","s.eVar2=[visitor DMA Cookie value]""","s.eVar2=[visitor DMA Cookie value]""","s.eVar2=[visitor DMA Cookie value]""",,
s.eVar3,,,,,,,
s.eVar4,"s.eVar4=""[site section]""","s.eVar4=""[site section]""","s.eVar4=""[site section]""","s.eVar4=""[site section]""","s.eVar4=""[site section]""",,
s.eVar5,"s.eVar5='[site subsection]""","s.eVar5='[site subsection]""","s.eVar5='[site subsection]""","s.eVar5='[site subsection]""","s.eVar5='[site subsection]""",,
s.eVar6,"s.eVar6=""[site sub-subsection]""","s.eVar6=""[site sub-subsection]""","s.eVar6=""[site sub-subsection]""","s.eVar6=""[site sub-subsection]""","s.eVar6=""[site sub-subsection]""",,
s.eVar7,,,,,,,
s.eVar8,,,,,,,
s.eVar9,,,,,,,
s.eVar10,,,,,,,
s.eVar11,"s.eVar=""Browser""
s.eVar11=""Customer""
s.eVar11=""Logged In""","s.eVar=""Browser""
s.eVar11=""Customer""
s.eVar11=""Logged In""","s.eVar=""Browser""
s.eVar11=""Customer""
s.eVar11=""Logged In""","s.eVar11=""Browser""
s.eVar11=""Customer""
s.eVar11=""Logged In""","s.eVar=""Browser""
s.eVar11=""Customer""
s.eVar11=""Logged In""",,
s.eVar12,"s.eVar12=""web""
s.eVar12=""mobile""
s.eVar12=""ios app""","s.eVar12=""web""
s.eVar12=""mobile""
s.eVar12=""ios app""","s.eVar12=""web""
s.eVar12=""mobile""
s.eVar12=""ios app""","s.eVar12=""web""
s.eVar12=""mobile""
s.eVar12=""ios app""","s.eVar12=""web""
s.eVar12=""mobile""
s.eVar12=""ios app""",,
s.eVar13,"s.eVar13=""us""
s.eVar13=""ca""
s.eVar13=""pr""","s.eVar13=""us""
s.eVar13=""ca""
s.eVar13=""pr""","s.eVar13=""us""
s.eVar13=""ca""
s.eVar13=""pr""","s.eVar13=""us""
s.eVar13=""ca""
s.eVar13=""pr""","s.eVar13=""us""
s.eVar13=""ca""
s.eVar13=""pr""",,
s.eVar14,"s.eVar14=""us""
s.eVar14=""sp""","s.eVar14=""us""
s.eVar14=""sp""","s.eVar14=""us""
s.eVar14=""sp""","s.eVar14=""us""
s.eVar14=""sp""","s.eVar14=""us""
s.eVar14=""sp""",,
s.eVar15,"s.eVar15=""[search term]""","s.eVar15=""[search term]""","s.eVar15=""[search term]""","s.eVar15=""[search term]""","s.eVar15=""[search term]""",,
s.eVar16,"s.eVar16=""+1""","s.eVar16=""+1""","s.eVar16=""+1""",,"s.eVar16=""+1""",,
s.eVar17,"s.eVar17=""[promo code]""","s.eVar17=""[promo code]""","s.eVar17=""[promo code]""","s.eVar17=""[promo code]""","s.eVar17=""[promo code]""",,
s.eVar18,"s.eVar18=""[facebook like]""
s.eVar18=""[facebook share]""","s.eVar18=""[facebook like]""
s.eVar18=""[facebook share]""","s.eVar18=""[facebook like]""
s.eVar18=""[facebook share]""","s.eVar18=""[facebook like]""
s.eVar18=""[facebook share]""","s.eVar18=""[facebook like]""
s.eVar18=""[facebook share]""",,
s.eVar19,"s.eVar19=""[friendly RSID name]""","s.eVar19=""[friendly RSID name]""","s.eVar19=""[friendly RSID name]""","s.eVar19=""[friendly RSID name]""","s.eVar19=""[friendly RSID name]""",,
s.eVar20,,"s.eVar20=""[keyword]""","s.eVar20=""[keyword]""","s.eVar20=""[keyword]""","s.eVar20=""[keyword]""",,
s.eVar21,,,,,,,
s.eVar22,,,"s.eVar22=""[number of results]""","s.eVar22=""[number of results]""","s.eVar22=""[number of results]""",,
s.eVar23,,"s.eVar23=""[product sort]""","s.eVar23=""[product sort]""","s.eVar23=""[product sort]""","s.eVar23=""[product sort]""",,
s.eVar24,,"s.eVar24=""[product narrow]""","s.eVar24=""[product narrow]""","s.eVar24=""[product narrow]""","s.eVar24=""[product narrow]""",,
s.eVar25,,"s.eVar25=""guest""
s.eVar25=""login""
s.eVar25=""paypal""","s.eVar25=""guest""
s.eVar25=""login""
s.eVar25=""paypal""","s.eVar25=""guest""
s.eVar25=""login""
s.eVar25=""paypal""","s.eVar25=""guest""
s.eVar25=""login""
s.eVar25=""paypal""",,
s.eVar26,,,"s.eVar26=""[product]""","s.eVar26=""[product]""","s.eVar26=""[product]""",,
s.eVar27,,"s.eVar27=""[finding method]""","s.eVar27=""[finding method]""","s.eVar27=""[finding method]""","s.eVar27=""[finding method]""",,
s.eVar28,,"s.eVar28=""[payment method]""","s.eVar28=""[payment method]""","s.eVar28=""[payment method]""","s.eVar28=""[payment method]""",,
